         ps       /top/inA  /top/inC               /top/S        
          delta        /top/inB  /top/inD                        
          0  +0       UUUU UUUU UUUU UUUU UUUUUUUUUUUUUUU 
     250000  +0       0000 0010 0000 0010 000001000000100 
     250000  +6       0000 0010 0000 0010 000011000000100 
     250000  +7       0000 0010 0000 0010 000011100000100 
     250000  +8       0000 0010 0000 0010 000010100000100 
     260000  +0       0000 0000 0010 0010 000010100000100 
     260000  +5       0000 0000 0010 0010 000010100001100 
     260000  +6       0000 0000 0010 0010 000010100010100 
     260000  +7       0000 0000 0010 0010 000010001110100 
     260000  +8       0000 0000 0010 0010 000011110110100 
     260000  +9       0000 0000 0010 0010 000010110110100 
     270000  +0       0000 0000 0000 0000 000010110110100 
     270000  +6       0000 0000 0000 0000 000000110100100 
     270000  +7       0000 0000 0000 0000 000000000100100 
     280000  +0       0100 0000 0000 0000 000000000100100 
     280000  +6       0100 0000 0000 0000 000000000110100 
     280000  +7       0100 0000 0000 0000 000000010110100 
     290000  +0       0000 0100 0000 0000 000000010110100 
     290000  +7       0000 0100 0000 0000 000000010010100 
     290000  +8       0000 0100 0000 0000 000000011010100 
     300000  +0       0000 0000 0100 0000 000000011010100 
     300000  +5       0000 0000 0100 0000 000001011010100 
     300000  +7       0000 0000 0100 0000 000001011110100 
     300000  +8       0000 0000 0100 0000 000001010110100 
     310000  +0       0000 0000 0000 0100 000001010110100 
     310000  +5       0000 0000 0000 0100 000100010110100 
     310000  +6       0000 0000 0000 0100 000100000110100 
     310000  +7       0000 0000 0000 0100 000100110110100 
     310000  +8       0000 0000 0000 0100 000100010110100 
     320000  +0       0100 0100 0000 0000 000100010110100 
     320000  +5       0100 0100 0000 0000 000000010110100 
     320000  +6       0100 0100 0000 0000 000000000100100 
     320000  +7       0100 0100 0000 0000 000000101100100 
     330000  +0       0100 0000 0100 0000 000000101100100 
     330000  +5       0100 0000 0100 0000 000001101100100 
     330000  +7       0100 0000 0100 0000 000001100100100 
     330000  +8       0100 0000 0100 0000 000001100000100 
     330000  +9       0100 0000 0100 0000 000001101000100 
     340000  +0       0100 0000 0000 0100 000001101000100 
     340000  +5       0100 0000 0000 0100 000100101000100 
     340000  +6       0100 0000 0000 0100 000100111000100 
     340000  +7       0100 0000 0000 0100 000100001000100 
     340000  +8       0100 0000 0000 0100 000100101000100 
     350000  +0       0000 0100 0100 0000 000100101000100 
     350000  +5       0000 0100 0100 0000 000001101000100 
     350000  +6       0000 0100 0100 0000 000001111000100 
     350000  +7       0000 0100 0100 0000 000001100100100 
     350000  +8       0000 0100 0100 0000 000001111100100 
     350000  +9       0000 0100 0100 0000 000001101100100 
     360000  +0       0000 0100 0000 0100 000001101100100 
     360000  +5       0000 0100 0000 0100 000100101100100 
     360000  +6       0000 0100 0000 0100 000100111100100 
     360000  +7       0000 0100 0000 0100 000100001100100 
     360000  +8       0000 0100 0000 0100 000100101100100 
     370000  +0       0000 0000 0100 0100 000100101100100 
     370000  +5       0000 0000 0100 0100 000101101100100 
     370000  +8       0000 0000 0100 0100 000101100000100 
     370000  +9       0000 0000 0100 0100 000101101000100 
     380000  +0       0000 0000 0000 0000 000101101000100 
     380000  +5       0000 0000 0000 0000 000000101000100 
     380000  +6       0000 0000 0000 0000 000000111000100 
     380000  +7       0000 0000 0000 0000 000000001100100 
     380000  +8       0000 0000 0000 0000 000000000100100 
     390000  +0       1000 0000 0000 0000 000000000100100 
     390000  +7       1000 0000 0000 0000 000000000000100 
     390000  +8       1000 0000 0000 0000 000000101000100 
     400000  +0       0000 1000 0000 0000 000000101000100 
     410000  +0       0000 0000 1000 0000 000000101000100 
     410000  +6       0000 0000 1000 0000 000010101000100 
     420000  +0       0000 0000 0000 1000 000010101000100 
     420000  +5       0000 0000 0000 1000 001010101010100 
     420000  +6       0000 0000 0000 1000 001001101000100 
     420000  +7       0000 0000 0000 1000 001000001100100 
     420000  +8       0000 0000 0000 1000 001000100000100 
     420000  +9       0000 0000 0000 1000 001000101000100 
     430000  +0       1000 1000 0000 0000 001000101000100 
     430000  +5       1000 1000 0000 0000 000000101010100 
     430000  +6       1000 1000 0000 0000 000001101000100 
     430000  +7       1000 1000 0000 0000 000001000100100 
     430000  +8       1000 1000 0000 0000 000001011100100 
     430000  +9       1000 1000 0000 0000 000001001100100 
     440000  +0       1000 0000 1000 0000 000001001100100 
     440000  +6       1000 0000 1000 0000 000011001100100 
     440000  +7       1000 0000 1000 0000 000011000100100 
     440000  +8       1000 0000 1000 0000 000011001100100 
     450000  +0       1000 0000 0000 1000 000011001100100 
     450000  +5       1000 0000 0000 1000 001011001110100 
     450000  +6       1000 0000 0000 1000 001000001100100 
     450000  +7       1000 0000 0000 1000 001001101000100 
     450000  +8       1000 0000 0000 1000 001001000100100 
     450000  +9       1000 0000 0000 1000 001001011100100 
     450000 +10       1000 0000 0000 1000 001001001100100 
     460000  +0       0000 1000 1000 0000 001001001100100 
     460000  +5       0000 1000 1000 0000 000001001110100 
     460000  +6       0000 1000 1000 0000 000011001100100 
     460000  +7       0000 1000 1000 0000 000011100100100 
     460000  +8       0000 1000 1000 0000 000011001100100 
     470000  +0       0000 1000 0000 1000 000011001100100 
     470000  +5       0000 1000 0000 1000 001011001110100 
     470000  +6       0000 1000 0000 1000 001000001100100 
     470000  +7       0000 1000 0000 1000 001001101000100 
     470000  +8       0000 1000 0000 1000 001001000100100 
     470000  +9       0000 1000 0000 1000 001001011100100 
     470000 +10       0000 1000 0000 1000 001001001100100 
     480000  +0       0000 0000 1000 1000 001001001100100 
     480000  +6       0000 0000 1000 1000 001011001100100 
